billionaire_id,publication,author,title,url,published_ts
0,Engadget,Andrew Tarantola,"In 2021, billionaires headed to the stars",https://www.engadget.com/in-2021-billionaires-headed-to-the-stars-210013764.html,2021-12-20T15:00:13Z
0,Wired,"Tim Barber, Jeremy White",5 Space Watches That Are Out of This World,https://www.wired.com/gallery/space-watches/,2021-12-27T12:00:00Z
0,Wired,Cecilia D'Anastasio,Video Games Already Do What the Metaverse Just Promises,https://www.wired.com/story/video-games-ahead-of-metaverse/,2022-01-10T12:00:00Z
0,Blogspot.com,noreply@blogger.com (Unknown),World's richest man gets $32BILLION richer: Elon Musk's worth climbs to $304billion as Tesla stock soars after car maker rolled out nearly a million vehicles in 2021,https://techncruncher.blogspot.com/2022/01/worlds-richest-man-gets-32billion.html,2022-01-04T16:16:00Z
0,Gizmodo.com,George Dvorsky,FAA Says Jeff Bezos Counts as an Astronaut After All,https://gizmodo.com/faa-says-jeff-bezos-counts-as-an-astronaut-after-all-1848205151,2021-12-13T17:05:00Z
0,New York Times,Trish Bendix,Stephen Colbert Comments on the ‘Slides of Sedition’,https://www.nytimes.com/2021/12/14/arts/television/stephen-colbert-jan-6-powerpoint.html,2021-12-14T06:59:51Z
0,CNN,"Jackie Wattles, CNN Business",2021: The year of space tourism,https://www.cnn.com/2022/01/01/tech/space-business-year-in-review-scn/index.html,2022-01-01T14:15:04Z
0,BBC News,https://www.facebook.com/bbcnews,Year in tech: The stories making headlines in 2021,https://www.bbc.co.uk/news/technology-59309768,2021-12-31T01:01:04Z
0,Reuters,,Crypto pioneer Justin Sun plans space trip with Blue Origin - Reuters,https://www.reuters.com/markets/us/crypto-pioneer-justin-sun-plans-space-trip-with-blue-origin-2021-12-22/,2021-12-22T14:30:00Z
0,Reuters,,India's Future Group shares jump after arbitration with Amazon halted - Reuters,https://www.reuters.com/markets/europe/indias-future-group-shares-jump-after-arbitration-with-amazon-halted-2022-01-06/,2022-01-06T04:22:00Z
0,Reuters,,Japan billionaire Maezawa set to land in Kazakhstan after 12-day space flight - Reuters,https://www.reuters.com/lifestyle/science/japan-billionaire-maezawa-set-land-kazakhstan-after-12-day-space-flight-2021-12-20/,2021-12-20T01:35:00Z
0,Reuters,,"IRS, non-profits push $300 charitable tax deduction, set to expire at year-end - Reuters",https://www.reuters.com/markets/rates-bonds/irs-non-profits-push-300-charitable-tax-deduction-set-expire-year-end-2021-12-13/,2021-12-13T23:10:00Z
0,Reuters,,India's Future Retail asks court to declare arbitration with Amazon illegal - Reuters,https://www.reuters.com/markets/deals/indias-future-retail-asks-court-declare-arbitration-with-amazon-illegal-2022-01-03/,2022-01-03T05:50:00Z
0,Reuters,,"EXCLUSIVE Amazon says India revoking Future deal would boost Reliance, hurt competition - Reuters",https://www.reuters.com/markets/deals/exclusive-amazon-says-india-revoking-future-deal-would-boost-reliance-hurt-2021-12-14/,2021-12-14T14:53:00Z
0,Reuters,,Think ahead: How to set a long-term strategy - Reuters,https://www.reuters.com/business/think-ahead-how-set-long-term-strategy-2021-12-14/,2021-12-14T14:30:00Z
0,Reuters,,Review: A cautionary tale of bad climate investing - Reuters,https://www.reuters.com/breakingviews/review-cautionary-tale-bad-climate-investing-2021-12-31/,2021-12-31T11:33:00Z
0,Reuters,,"Special Report: Amazon partnered with China propaganda arm to win Beijing's favor, document shows - Reuters",https://www.reuters.com/world/china/amazon-partnered-with-china-propaganda-arm-win-beijings-favor-document-shows-2021-12-17/,2021-12-17T14:57:00Z
0,The Guardian,Stuart Heritage,Shatner in Space: Captain Kirk’s in a willy-shaped spaceship – and it’s poetry in motion,https://amp.theguardian.com/tv-and-radio/2021/dec/15/shatner-in-space-captain-kirks-in-a-willy-shaped-spaceship-and-its-poetry-in-motion,2021-12-15T13:48:42Z
0,The Guardian,Jasper Jolly,Elon Musk rejects mounting criticism his satellites are clogging space,https://amp.theguardian.com/technology/2021/dec/30/elon-musk-rejects-mounting-criticism-his-satellites-are-clogging-space,2021-12-30T10:56:40Z
0,The Guardian,Thomas Eaton,What is the first line of The Christmas Song? A special bumper edition of the Saturday quiz,https://amp.theguardian.com/lifeandstyle/2021/dec/18/first-line-of-christmas-song-bumper-edition-of-saturday-quiz,2021-12-18T07:00:52Z
1,Engadget,Bryan Menegus,"Tesla will hike prices on self-driving mode, again",https://www.engadget.com/tesla-fsd-price-increase-12000-002847392.html,2022-01-08T00:28:47Z
1,Engadget,Jon Fingas,Someone 'briefly compromised' the Indian Prime Minister's Twitter account,https://www.engadget.com/india-prime-minister-modi-twitter-compromised-205939729.html,2021-12-12T20:59:39Z
1,Engadget,Steve Dent,Tesla 'Full Self-Driving' beta features an 'Assertive' mode with rolling stops,https://www.engadget.com/teslas-full-self-driving-assertive-mode-reportedly-returns-with-rolling-stops-091938600.html,2022-01-10T09:19:38Z
1,Engadget,Andrew Tarantola,"In 2021, billionaires headed to the stars",https://www.engadget.com/in-2021-billionaires-headed-to-the-stars-210013764.html,2021-12-20T15:00:13Z
1,The Verge,Jon Porter,Tesla’s big holiday update adds TikTok and playable Sonic the Hedgehog,https://www.theverge.com/2021/12/21/22847952/tesla-christmas-update-2021-sonic-the-hedgehog-sudoku-blind-spot-cameras,2021-12-21T12:33:46Z
1,The Verge,Andrew J. Hawkins,California is ‘revisiting’ Tesla’s Full Self-Driving beta in light of ‘dangerous’ videos,https://www.theverge.com/2022/1/12/22880305/tesla-fsd-beta-california-dmv-autonomous-vehicle-letter,2022-01-12T18:42:39Z
1,Blogspot.com,noreply@blogger.com (Unknown),Elon Musk reveals who bitcoin's creator Satoshi Nakamoto might be,https://techncruncher.blogspot.com/2021/12/elon-musk-reveals-who-bitcoins-creator.html,2021-12-29T20:41:00Z
1,Blogspot.com,noreply@blogger.com (Unknown),Elon Musk says SpaceX will land humans on Mars in 10 years in the worst-case scenario,https://techncruncher.blogspot.com/2021/12/elon-musk-says-spacex-will-land-humans.html,2021-12-30T10:23:00Z
1,Blogspot.com,noreply@blogger.com (Unknown),"Elon Musk sells another $1 billion in Tesla shares, nearing 10% target",https://techncruncher.blogspot.com/2021/12/elon-musk-sells-another-1-billion-in.html,2021-12-29T20:56:00Z
